,2026.04.15 15:30:07
时间,电流,目标电流,滤波电流,速度,目标速度,位置,目标位置,外圈位置,扭矩,总线电压,驱动温度,电机温度
2026.04.15 15:30:07:654,0,0,-873,0,0,1524,0,0,0,47,47,39,
2026.04.15 15:30:07:697,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:07:734,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:07:776,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:07:818,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:07:854,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:07:897,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:07:934,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:07:976,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:018,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:055,0,0,-873,0,0,1524,0,0,0,47,47,39,
2026.04.15 15:30:08:097,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:133,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:176,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:219,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:255,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:298,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:334,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:377,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:419,0,0,-873,0,0,1524,0,0,0,47,47,39,
2026.04.15 15:30:08:456,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:498,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:534,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:576,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:619,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:655,0,0,-873,0,0,1524,0,0,0,47,47,39,
2026.04.15 15:30:08:692,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:735,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:777,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:813,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:855,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:898,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:935,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:08:977,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:09:013,0,0,-873,0,0,1524,0,0,0,47,47,39,
2026.04.15 15:30:09:055,0,0,-873,0,0,1524,0,0,0,47,47,39,
2026.04.15 15:30:09:098,0,0,-873,0,0,1524,0,0,0,47,47,39,
2026.04.15 15:30:09:135,0,0,-873,0,0,1524,0,0,0,47,47,39,
2026.04.15 15:30:09:181,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:09:213,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:09:256,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:09:299,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:09:335,0,0,-873,0,0,1524,0,0,0,47,47,39,
2026.04.15 15:30:09:377,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:09:414,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:09:456,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:09:499,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:09:535,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:09:578,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:09:614,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:09:656,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:09:699,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:09:735,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:09:778,0,0,-873,0,0,1522,0,0,0,47,47,39,
2026.04.15 15:30:09:814,0,0,-873,0,0,1523,0,0,0,47,47,39,
2026.04.15 15:30:09:857,0,0,-873,0,0,1522,0,0,0,47,47,39,
